Date,Open,High,Low,Close,Volume,Adjusted
2026-01-02,248,252,246,250,1000000,250
2026-01-05,250,253,248,251,1010000,251
2026-01-06,251,255,250,254,1020000,254
2026-01-07,254,256,252,253,1030000,253
2026-01-08,253,258,252,257,1040000,257
2026-01-09,257,260,255,259,1050000,259
2026-01-12,259,261,256,258,1060000,258
2026-01-13,258,262,257,261,1070000,261
2026-01-14,261,264,259,263,1080000,263
2026-01-15,263,266,261,265,1090000,265
2026-01-16,265,267,262,264,1100000,264
2026-01-19,264,269,263,268,1110000,268
2026-01-20,268,271,266,270,1120000,270
2026-01-21,270,273,268,272,1130000,272
2026-01-22,272,275,270,274,1140000,274
2026-01-23,274,277,272,276,1150000,276
2026-01-26,276,279,274,278,1160000,278
2026-01-27,278,281,276,280,1170000,280
2026-01-28,280,283,278,282,1180000,282
2026-01-29,282,285,280,284,1190000,284
