Date,Open,High,Low,Close,Volume,Adjusted
2026-01-02,465,470,462,468,900000,468
2026-01-05,468,472,466,470,910000,470
2026-01-06,470,475,468,474,920000,474
2026-01-07,474,478,472,476,930000,476
2026-01-08,476,481,474,479,940000,479
2026-01-09,479,484,477,482,950000,482
2026-01-12,482,486,479,481,960000,481
2026-01-13,481,487,480,485,970000,485
2026-01-14,485,490,483,488,980000,488
2026-01-15,488,493,486,491,990000,491
2026-01-16,491,495,488,489,1000000,489
2026-01-19,489,496,487,494,1010000,494
2026-01-20,494,501,492,498,1020000,498
2026-01-21,498,504,496,501,1030000,501
2026-01-22,501,507,499,504,1040000,504
2026-01-23,504,510,502,507,1050000,507
2026-01-26,507,513,505,510,1060000,510
2026-01-27,510,516,508,513,1070000,513
2026-01-28,513,519,511,516,1080000,516
2026-01-29,516,522,514,519,1090000,519
